lemma-overlap,participant-overlap,location-overlap,discourse-distance,sentence-distance,word2vec-similarity,temporal-relation,coreferent
0.0,1.0,0.0,0.3805555555555555,0.2222222222222222,0.14625323563814166,0.0,1
0.0,1.0,0.0,0.3972222222222222,0.2222222222222222,0.2878734804689884,0.0,0
0.0,1.0,0.0,0.2805555555555556,0.2222222222222222,0.037532487884163857,0.0,0
0.0,0.0,0.0,0.875,0.6666666666666666,0.2878734804689884,0.0,0
0.0,0.0,0.0,0.8861111111111111,0.6666666666666666,0.25056471303105354,0.0,0
0.0,1.0,0.3333333333333333,0.25,0.0,0.1807660162448883,0.0,0
0.0,1.0,0.3333333333333333,0.1638888888888889,0.0,0.047765888273715966,0.0,0
0.0,0.0,0.0,0.7277777777777777,0.4444444444444444,0.1807660162448883,0.0,0
0.0,0.0,0.0,0.7388888888888889,0.4444444444444444,0.3933946192264557,0.0,0
0.0,1.0,0.3333333333333333,0.15555555555555556,0.0,0.02481497637927532,0.0,0
1.0,0.0,0.0,0.7277777777777777,0.4444444444444444,1.0000001192092896,0.0,1
0.0,0.0,0.0,0.7388888888888889,0.4444444444444444,0.5248172283172607,0.0,0
0.0,0.0,0.0,1.0083333333333333,0.4444444444444444,0.02481497637927532,0.0,0
0.0,0.0,0.0,1.0194444444444444,0.4444444444444444,0.06170721724629402,0.0,0
0.0,1.0,0.0,0.7388888888888889,0.0,0.5248172283172607,0.0,0
0.0,0.0,0.0,0.04651162790697674,0.09090909090909093,0.17349587380886078,0.0,0
0.0,0.0,0.0,0.06589147286821706,0.09090909090909093,0.06630127131938934,0.0,0
0.0,0.0,0.0,0.015503875968992246,0.09090909090909093,0.2686512470245361,0.0,0
0.0,0.0,0.0,0.027131782945736437,0.09090909090909093,0.6357938647270203,0.0,1
0.0,1.0,0.0,0.06589147286821706,0.0,0.17287923395633698,0.0,0
0.0,1.0,0.0,0.015503875968992246,0.0,0.049163270741701126,0.0,0
0.0,1.0,0.0,0.027131782945736437,0.0,0.2368501126766205,0.0,0
0.0,1.0,0.0,0.015503875968992246,0.0,0.12205509841442108,0.0,0
0.0,1.0,0.0,0.027131782945736437,0.0,0.0379561223089695,0.0,0
0.0,1.0,0.0,0.027131782945736437,0.0,0.15814043581485748,0.0,0
0.0,1.0,0.0,0.23676880222841226,0.0,0.2979045808315277,0.0,0
0.0,0.0,0.0,0.2757660167130919,0.05555555555555555,0.14267009496688846,0.0,0
0.0,0.0,0.0,0.1671309192200557,0.1111111111111111,0.13413409888744354,0.0,0
0.0,0.0,0.0,0.11977715877437325,0.16666666666666666,0.11939547210931778,0.0,0
